h,coef,se,spec,ci_lo,ci_hi
-7,-.27446693,2.5092473,4,-5.1925917,4.6436577
-6,-2.600158,2.1950188,4,-6.9023948,1.7020788
-5,-1.0928115,1.3086796,4,-3.6578236,1.4722005
-4,3.1884458e-14,2.3710178e-14,4,-1.4587491e-14,7.8356409e-14
-3,4.5395985e-14,1.2139041e-14,4,2.1603465e-14,6.9188504e-14
-2,4.2111476e-14,3.8089649e-14,4,-3.2544236e-14,1.1676719e-13
-1,-2.1091773e-15,1.4022178e-14,4,-2.9592648e-14,2.5374292e-14
0,6.3807206,2.3872156,4,1.7017781,11.059663
1,13.461867,3.214503,4,7.1614413,19.762293
2,19.430861,3.9397554,4,11.70894,27.152781
3,22.940552,4.6079044,4,13.90906,31.972044
4,22.54357,5.2214894,4,12.30945,32.777687
5,22.670303,5.1043696,4,12.665739,32.67487
6,23.384722,5.3143859,4,12.968525,33.800919
7,22.134466,5.5257173,4,11.30406,32.96487
8,23.880247,5.7463603,4,12.617381,35.143112
9,19.611656,5.6475172,4,8.5425224,30.68079
10,19.20051,5.2437115,4,8.9228354,29.478184
11,20.327242,5.3203554,4,9.8993454,30.755138
12,20.328249,5.0873847,4,10.356975,30.299522
13,17.279659,4.9210939,4,7.634315,26.925003
14,16.213118,4.8471608,4,6.7126822,25.713552
15,15.521456,4.7838111,4,6.1451859,24.897726
16,11.867443,5.2102356,4,1.6553813,22.079504
17,11.051785,6.0188646,4,-.74519014,22.848759
18,10.01029,6.5461626,4,-2.8201885,22.840769
19,8.0206671,5.6336355,4,-3.0212586,19.062593
20,8.1619368,5.6471763,4,-2.9065287,19.230402
21,8.2963009,5.680851,4,-2.838167,19.430769
22,7.3845506,5.9470654,4,-4.2716975,19.040798
23,7.8942876,6.0721917,4,-4.0072083,19.795784
24,7.6276231,6.2001567,4,-4.524684,19.77993
25,6.3570275,6.3517942,4,-6.0924892,18.806543
-10,-1.3271763,4.3378258,5,-9.8293152,7.174962
-9,1.1023457,3.6108832,5,-5.9749856,8.179677
-8,.14545581,2.9771438,5,-5.6897459,5.9806576
-7,-1.5547527,2.430392,5,-6.3183212,3.2088156
-6,-3.5141602,2.1371214,5,-7.7029181,.67459786
-5,-1.532891,1.2778118,5,-4.0374022,.97162002
-4,5.5395599e-14,2.3671417e-14,5,8.9996226e-15,1.0179157e-13
-3,-1.0595478e-13,4.4923338e-14,5,-1.9400452e-13,-1.7905033e-14
-2,-1.0278066e-13,4.7169137e-14,5,-1.9523216e-13,-1.0329150e-14
-1,2.4473045e-14,2.0536959e-14,5,-1.5779395e-14,6.4725487e-14
0,6.5600867,2.3492568,5,1.9555435,11.16463
1,13.983682,3.0790415,5,7.9487605,20.018602
2,20.21837,3.7679005,5,12.833285,27.603455
3,23.975254,4.394268,5,15.362489,32.58802
4,23.498539,5.0196295,5,13.660066,33.337013
5,23.62027,4.98522,5,13.849238,33.3913
6,24.317659,5.280705,5,13.967478,34.667843
7,22.927794,5.2995963,5,12.540585,33.315002
8,24.636543,5.5425067,5,13.773231,35.499855
9,20.525034,5.4473891,5,9.8481512,31.201916
10,20.513653,5.0896759,5,10.537888,30.489418
11,21.655527,5.1574802,5,11.546865,31.764189
12,22.057131,4.8773799,5,12.497466,31.616795
13,19.189125,4.6476054,5,10.079819,28.298431
14,18.65431,4.5853186,5,9.6670856,27.641535
15,17.752413,4.7424192,5,8.4572706,27.047554
16,13.790868,5.2043037,5,3.5904324,23.991302
17,12.800476,5.960041,5,1.1187956,24.482157
18,11.741753,6.4685163,5,-.93653941,24.420044
19,9.3509083,5.3795714,5,-1.1930517,19.894869
20,9.7657671,5.4630051,5,-.94172281,20.473257
21,9.5588388,5.4451675,5,-1.1136895,20.231367
22,8.8797569,5.7665758,5,-2.4227316,20.182245
23,9.2407475,5.8964329,5,-2.3162611,20.797756
24,9.1478796,6.1920643,5,-2.9885664,21.284325
25,7.1879702,6.3602948,5,-5.2782078,19.654148
