horizon,coef,se,label
-10,-0.14727280050409075,0.15070121614533996,unrest_new
-9,0.008003256578205331,0.10277354941325717,unrest_new
-8,0.18045976952558837,0.1571287557117478,unrest_new
-7,0.038744794088784285,0.13881211037737265,unrest_new
-6,-0.07771012019253937,0.09107035963821523,unrest_new
-5,0.09298743819848869,0.148527868268618,unrest_new
-4,1.463815730290379e-16,1.3397489038419498e-16,unrest_new
-3,-4.181957144424438e-17,1.3704553414417988e-16,unrest_new
-2,2.5802200980700373e-16,2.0198633809137073e-16,unrest_new
-1,7.597131331065695e-16,7.443556572389248e-16,unrest_new
0,-0.8192918808794825,0.1624306481618595,unrest_new
1,-0.399489781422091,0.1113491172763832,unrest_new
2,-0.10847550476233511,0.13185084026076557,unrest_new
3,-0.2709302145825,0.11999540362339109,unrest_new
4,-0.24390756048707712,0.12019948295351462,unrest_new
5,-0.19920386435403087,0.12471330277048913,unrest_new
6,-0.47255470725867577,0.12556146053471778,unrest_new
7,-0.17141933711893895,0.12449356276838366,unrest_new
8,-0.1944110316206058,0.09897657722684566,unrest_new
9,-0.281223463537583,0.13029281801981402,unrest_new
10,-0.23200414099568084,0.1095480771677337,unrest_new
11,-0.16011802018015994,0.06386852401230964,unrest_new
12,-0.044471188645079124,0.14095585026692156,unrest_new
13,-0.26061730591772064,0.11376734380416839,unrest_new
14,-0.1766956859565356,0.1250608949680708,unrest_new
15,-0.024531190945752176,0.1239987454424221,unrest_new
16,-0.19714920596999586,0.15589341566316586,unrest_new
17,0.06733628334565728,0.07807515840758429,unrest_new
18,-0.21262678787420441,0.1399875264460831,unrest_new
19,-0.16425660653858754,0.13532666028950188,unrest_new
20,-0.1545415141969626,0.1460031817766241,unrest_new
21,0.07527809218476535,0.14982967939626024,unrest_new
22,0.04783149833893324,0.13665456506816162,unrest_new
23,0.44315099530565916,0.15015332008197343,unrest_new
24,0.2348054878287049,0.12275951817913053,unrest_new
25,0.10883224017321563,0.11858023292980775,unrest_new
