country_code,decade,geo_change,longrun_effect
AFG,1960s,0.10157852945739992,7.255686871420556
AFG,1970s,-0.399052804019661,-28.50407666457989
AFG,1980s,0.0779435987600958,5.567459474514964
AFG,1990s,-0.036710052702207494,-2.6221746747403785
AFG,2000s,0.432962801196227,30.92624523345155
AFG,2010s,0.032602860601446626,2.3288006717588665
AFG,2020-2024,-0.15799593356828628,-11.28554456392297
AGO,1960s,0.12170543113266989,8.693338085980349
AGO,1970s,-0.06680291086478149,-4.771687539910163
AGO,1980s,0.1424727549635189,10.176734229623314
AGO,1990s,0.1026811145400453,7.334443791327821
AGO,2000s,-0.0008705351111842896,-0.062181744617394084
AGO,2010s,0.023045110287520376,1.6460969169053017
AGO,2020-2024,0.02858547359067526,2.0418413866897343
ALB,1960s,0.030085375658874904,2.148978394901856
ALB,1970s,-0.0495724100404378,-3.540924313793347
ALB,1980s,0.1834034712224477,13.1003880980552
ALB,1990s,0.2716861152588341,19.406358707501145
ALB,2000s,-0.020047175598605804,-1.43195643387285
ALB,2010s,-0.07997814456455687,-5.712785729596487
ALB,2020-2024,-0.02404822346301927,-1.7177486245731968
AND,1960s,0.00036131406874460176,0.025808423877106745
AND,1970s,-0.008547047158088898,-0.6105098999327979
AND,1980s,-0.007233334407348701,-0.5166722709645529
AND,1990s,0.059982673152155996,4.284522491392528
AND,2000s,0.1437276816902956,10.26637281195667
AND,2010s,-0.06784057061752988,-4.845806886638602
AND,2020-2024,-0.0565096176442738,-4.036444443926564
ARE,1960s,0.1958274016582362,13.987821194753037
ARE,1970s,-0.012523677222222501,-0.8945579433820874
ARE,1980s,0.24736282501968132,17.668962245860243
ARE,1990s,-0.08366944129550918,-5.976452602629143
ARE,2000s,0.04581819987862956,3.2727635761936815
ARE,2010s,-0.0087960142118651,-0.6282934511729034
ARE,2020-2024,-0.01666467253595344,-1.1903464874075473
ARG,1960s,-0.13572596069365933,-9.694815197427388
ARG,1970s,-0.028193035072983708,-2.013809764103108
ARG,1980s,0.2417857572087966,17.270595997474764
ARG,1990s,0.0024872359054017856,0.17766160822910862
ARG,2000s,-0.2558628579315008,-18.276113949417795
ARG,2010s,0.14725550607235338,10.518362963717125
ARG,2020-2024,0.009792266134854566,0.6994550641325953
ARM,1960s,0.27846030550167,19.89023461584517
ARM,1970s,-0.21982987064980358,-15.702301607829222
ARM,1980s,0.3021536426001132,21.582633943179516
ARM,1990s,0.23558861923638508,16.827938549419606
ARM,2000s,-0.08580631885003609,-6.129088346629714
ARM,2010s,0.05939720256316566,4.242702716201537
ARM,2020-2024,0.04788360894660232,3.420294373682611
ATG,1960s,-0.2113997975218242,-15.100147085150814
ATG,1970s,0.08865791617461499,6.332776048952696
ATG,1980s,0.1036379927177279,7.402792963819751
ATG,1990s,-0.08174756187856491,-5.839174032753567
ATG,2000s,0.12410556045629689,8.864777728945993
ATG,2010s,0.07990953168424689,5.70788475714163
ATG,2020-2024,-0.013416458449674207,-0.958328713304374
AUS,1960s,-0.09619353754972892,-6.871040477188393
AUS,1970s,-0.0054534178178108905,-0.3895340115319901
AUS,1980s,0.1130143057687682,8.072536775530407
AUS,1990s,-0.02726394605580018,-1.9474455528827963
AUS,2000s,0.03343785669483157,2.3884438879466083
AUS,2010s,-0.016584537911766895,-1.1846225244425157
AUS,2020-2024,0.07738754696572536,5.527741064278129
AUT,1960s,-0.03440930629431471,-2.45783388741665
AUT,1970s,-0.016906414913480272,-1.2076139848231604
AUT,1980s,-0.1501061866717801,-10.72198518497155
AUT,1990s,0.19202569454402119,13.716267781399438
AUT,2000s,-0.009787063391626272,-0.6990834356404468
AUT,2010s,-0.09087551830889043,-6.491177896052131
AUT,2020-2024,0.09543344053888461,6.816747252704355
AZE,1960s,0.2615787040890141,18.684393042900062
AZE,1970s,-0.1814454737422531,-12.960529638918118
AZE,1980s,0.2355223938102324,16.823208111229007
AZE,1990s,0.2013964516533301,14.385614735883532
AZE,2000s,0.020945976789428167,1.4961572057791015
AZE,2010s,-0.0332750326028074,-2.37681347123196
AZE,2020-2024,-0.0490094642056324,-3.5007134668285715
BDI,1960s,-0.029065458388175716,-2.0761263818782703
BDI,1970s,0.049784786981363405,3.5560942575826258
BDI,1980s,0.03408380753743889,2.4345837274710087
BDI,1990s,-0.07438368079216981,-5.31317689923859
BDI,2000s,0.10317344193412423,7.369610409989663
BDI,2010s,-0.25256710169433233,-18.040700271063116
BDI,2020-2024,0.1853205379065242,13.23732289761956
BEL,1960s,0.049495233276609374,3.5354116288285238
BEL,1970s,-0.09855682872582738,-7.039848795750958
BEL,1980s,0.09928874114261549,7.092128813407113
BEL,1990s,-0.04853885259575891,-3.467097992204781
BEL,2000s,0.04957201672049799,3.5408962192113638
BEL,2010s,-0.15978240377304462,-11.413150943736582
BEL,2020-2024,0.09872886876140911,7.052137501190945
BEN,1960s,-0.31450185905752015,-22.46465884070514
