country_code,year,y_ext,delta_y_geo,region
AFG,1960,,0.4954539118227663,MNA
AFG,1961,,1.4605562327165895,MNA
AFG,1962,,2.4289105773847854,MNA
AFG,1963,,3.498797739618242,MNA
AFG,1964,,4.139385598035769,MNA
AFG,1965,,5.192766648344084,MNA
AFG,1966,,6.07646717373813,MNA
AFG,1967,,6.919778229126493,MNA
AFG,1968,,7.7056207710686495,MNA
AFG,1969,,8.40023007367114,MNA
AFG,1970,,9.096033756498546,MNA
AFG,1971,,9.790954156455614,MNA
AFG,1972,,9.993947313741996,MNA
AFG,1973,,10.429053645282009,MNA
AFG,1974,,10.932022404271041,MNA
AFG,1975,,11.021955610671823,MNA
AFG,1976,,11.02178901164187,MNA
AFG,1977,,11.095784791180588,MNA
AFG,1978,,10.658509544777786,MNA
AFG,1979,,9.021113939399665,MNA
AFG,1980,,6.011819600289255,MNA
AFG,1981,,2.7095426907734335,MNA
AFG,1982,,0.12999727613117767,MNA
AFG,1983,,-1.627370283504942,MNA
AFG,1984,,-3.8448223193842472,MNA
AFG,1985,,-6.139977958717456,MNA
AFG,1986,,-8.107164840374017,MNA
AFG,1987,,-9.949258406851577,MNA
AFG,1988,,-11.181076883213045,MNA
AFG,1989,,-13.232381796224326,MNA
AFG,1990,,-15.465448783391862,MNA
AFG,1991,,-16.618271602280462,MNA
AFG,1992,,-17.32722928820901,MNA
AFG,1993,,-17.86044927997099,MNA
AFG,1994,,-18.571698410527873,MNA
AFG,1995,,-19.103410043733074,MNA
AFG,1996,,-19.775464582857023,MNA
AFG,1997,,-20.201339936059043,MNA
AFG,1998,,-20.396391416680068,MNA
AFG,1999,,-21.744524474062036,MNA
AFG,2000,,-22.997854569128513,MNA
AFG,2001,,-24.01678393019558,MNA
AFG,2002,,-23.372894785684664,MNA
AFG,2003,,-21.660102557342636,MNA
AFG,2004,,-19.44631794245769,MNA
AFG,2005,,-17.106426444670856,MNA
AFG,2006,,-15.49423819004606,MNA
AFG,2007,,-14.190773114036727,MNA
AFG,2008,,-12.727817004669369,MNA
AFG,2009,,-12.190849032834494,MNA
AFG,2010,,-11.70641397658612,MNA
AFG,2011,,-10.61419968329437,MNA
AFG,2012,,-8.906230838367962,MNA
AFG,2013,,-7.428656979308235,MNA
AFG,2014,,-6.0100378198182485,MNA
AFG,2015,,-4.8454690183571145,MNA
AFG,2016,,-4.081340001977993,MNA
AFG,2017,,-3.3439190558687857,MNA
AFG,2018,,-2.691865978943811,MNA
AFG,2019,,-2.092345177901597,MNA
AFG,2020,,-1.6056969458510757,MNA
AFG,2021,,-1.1566108845650755,MNA
AFG,2022,,-0.9590406894494956,MNA
AFG,2023,,-0.8977111346924459,MNA
AFG,2024,,-0.9910079758131515,MNA
AGO,1960,,-0.5699783565308392,AFR
AGO,1961,,-1.872280939971096,AFR
AGO,1962,,-3.479195974624344,AFR
AGO,1963,,-4.951812995881967,AFR
AGO,1964,,-5.367400210922149,AFR
AGO,1965,,-5.602723082920065,AFR
AGO,1966,,-5.412127386015358,AFR
AGO,1967,,-5.624953629396978,AFR
AGO,1968,,-5.486184130583991,AFR
AGO,1969,,-5.172194229837569,AFR
AGO,1970,,-4.827021921835435,AFR
AGO,1971,,-4.973835890329788,AFR
AGO,1972,,-5.150781872924371,AFR
AGO,1973,,-4.997089552936089,AFR
AGO,1974,,-4.882209585484562,AFR
AGO,1975,,-4.917446407771874,AFR
AGO,1976,,-5.194495915871778,AFR
AGO,1977,,-5.395679628808195,AFR
AGO,1978,,-5.211341292584735,AFR
AGO,1979,,-4.8095124412256585,AFR
AGO,1980,,-4.716194900563215,AFR
AGO,1981,,-4.56691081148816,AFR
AGO,1982,,-4.689667690508321,AFR
AGO,1983,,-4.275618866443433,AFR
AGO,1984,,-3.9853872845716136,AFR
AGO,1985,667.9952392578125,-3.6196115578843306,AFR
AGO,1986,667.96142578125,-3.503916813518115,AFR
AGO,1987,673.0205078125,-2.718731126966104,AFR
AGO,1988,676.0223999023438,-1.9008975442337852,AFR
AGO,1989,673.873779296875,-1.110637577960271,AFR
AGO,1990,670.802001953125,-0.28935370611840067,AFR
AGO,1991,666.559814453125,0.20156428077594885,AFR
AGO,1992,656.1832275390625,0.18042276156255174,AFR
AGO,1993,624.5170288085938,0.7696226830849321,AFR
AGO,1994,624.7449951171875,0.9840693103875978,AFR
AGO,1995,631.6016845703125,1.2477062040202351,AFR
AGO,1996,639.386474609375,1.8456249759810517,AFR
AGO,1997,644.2999877929688,2.337559215778693,AFR
AGO,1998,648.2141723632812,2.994261462068515,AFR
AGO,1999,648.6008911132812,3.6519332926487977,AFR
AGO,2000,648.544677734375,4.149126157432614,AFR
AGO,2001,648.3756103515625,4.321168030219966,AFR
AGO,2002,658.476806640625,4.662972903113905,AFR
AGO,2003,658.2374877929688,4.92630016980585,AFR
AGO,2004,665.41162109375,5.416024537064726,AFR
AGO,2005,680.8766479492188,5.780942054474629,AFR
AGO,2006,694.7915649414062,5.6752332919109865,AFR
AGO,2007,712.26611328125,5.524894735575992,AFR
AGO,2008,722.3104248046875,5.800876376223815,AFR
AGO,2009,720.1400146484375,5.929972743299059,AFR
AGO,2010,723.0565795898438,5.967425311757809,AFR
AGO,2011,722.581787109375,5.849918568793712,AFR
AGO,2012,726.89501953125,5.610361594800931,AFR
AGO,2013,727.880859375,5.425456312406002,AFR
AGO,2014,728.8579711914062,5.249661123316386,AFR
AGO,2015,726.1920166015625,5.0894067402832395,AFR
AGO,2016,720.001708984375,4.811547272112152,AFR
AGO,2017,716.3137817382812,4.646114458360265,AFR
AGO,2018,711.5354614257812,4.705580840869077,AFR
AGO,2019,707.4428100585938,4.989819266294908,AFR
AGO,2020,698.3714599609375,5.190418244844655,AFR
AGO,2021,696.3822021484375,5.2285394229209805,AFR
AGO,2022,696.2384643554688,5.170864717639962,AFR
AGO,2023,694.2301025390625,5.253198210815669,AFR
AGO,2024,695.5147705078125,5.410615836679243,AFR
ALB,1960,,-0.9502365546236868,ECA
ALB,1961,,-3.137714970954328,ECA
ALB,1962,,-5.417747043886188,ECA
ALB,1963,,-7.29269241362963,ECA
ALB,1964,,-7.945726249062103,ECA
ALB,1965,,-8.737867181644098,ECA
ALB,1966,,-9.40856594272648,ECA
ALB,1967,,-10.05402321413445,ECA
ALB,1968,,-10.366981941973519,ECA
ALB,1969,,-10.66447034329541,ECA
