country_code,decade,contemporaneous_effect
BGD,1960s,-0.10933221155906125
BGD,1970s,-0.9875003928405376
BGD,1980s,1.2108403670516432
BGD,1990s,-0.6741292098785876
BGD,2000s,-0.7592708429691002
BGD,2010s,-1.963409429083565
BGD,2020-2024,-1.1371345153563028
BGR,1960s,-4.423405399674678
BGR,1970s,0.1110526398724953
BGR,1980s,-2.856503826495625
BGR,1990s,5.386631101044209
BGR,2000s,0.34946380647217856
BGR,2010s,-0.998670309810281
BGR,2020-2024,-1.2254573405087974
BHR,1960s,1.327741012912057
BHR,1970s,0.6366999694590023
BHR,1980s,3.3723554949046313
BHR,1990s,-4.686687650000188
BHR,2000s,3.203989057584673
BHR,2010s,-5.057913725107836
BHR,2020-2024,0.6092985485793311
BHS,1960s,-2.820643768766259
BHS,1970s,6.138336318953681
BHS,1980s,-0.29939956541365065
BHS,1990s,2.259495622199126
BHS,2000s,6.503001386144513
BHS,2010s,-2.4923078015329696
BHS,2020-2024,0.8412804513090265
BIH,1960s,0.7718154196292657
BIH,1970s,-0.2077646983930417
BIH,1980s,-3.0056587912588055
BIH,1990s,8.827388716866151
BIH,2000s,-0.3962643882715093
BIH,2010s,-2.628247845913484
BIH,2020-2024,-1.7051039606589833
BLR,1960s,3.805929922674254
BLR,1970s,1.0535287880607025
BLR,1980s,3.3785551845071606
BLR,1990s,-2.112646482133113
BLR,2000s,-1.9303216368078715
BLR,2010s,2.4560933162011738
BLR,2020-2024,-3.728253454403079
BLZ,1960s,4.20007350923025
BLZ,1970s,1.3830431847530729
BLZ,1980s,0.13687455351474095
BLZ,1990s,-1.4474846508731751
BLZ,2000s,-2.637067422152371
BLZ,2010s,-2.4302567117663774
BLZ,2020-2024,0.5143121649752196
BOL,1960s,1.0427525409670177
BOL,1970s,-1.7842272946155164
BOL,1980s,12.007743418741741
BOL,1990s,1.1970418555723346
BOL,2000s,-5.200683879422436
BOL,2010s,-0.8069188319852776
BOL,2020-2024,-0.27108311342942526
BRA,1960s,-4.964326748209865
BRA,1970s,2.954006732980299
BRA,1980s,-1.9019728464456058
BRA,1990s,3.5061123644193755
BRA,2000s,-0.49891547709756073
BRA,2010s,0.3248755173787506
BRA,2020-2024,0.4517045187130452
BRB,1960s,2.5342654540437515
BRB,1970s,0.6000121683277102
BRB,1980s,-0.505145979220732
BRB,1990s,1.7806204891426614
BRB,2000s,-1.2685083361053977
BRB,2010s,-1.5006010420779534
BRB,2020-2024,1.0663370451994227
BRN,1960s,0.6539670075842202
BRN,1970s,0.160277985962389
BRN,1980s,5.631288002489437
BRN,1990s,3.3946590205669964
BRN,2000s,-0.35723982445273195
BRN,2010s,0.7557315971504636
BRN,2020-2024,0.4956585902902509
BTN,1960s,1.2259347209725586
BTN,1970s,-2.307915147218129
BTN,1980s,4.197474130036221
BTN,1990s,-4.7095996748181825
BTN,2000s,2.6715032023236223
BTN,2010s,-1.68136271359296
BTN,2020-2024,1.4754886734829942
BWA,1960s,7.260634308408008
BWA,1970s,-2.2398627981014494
BWA,1980s,3.914807390875225
BWA,1990s,0.11937124856963685
BWA,2000s,-0.6385009107750421
BWA,2010s,-2.8729563129158224
BWA,2020-2024,0.7779276750600718
CAF,1960s,-4.83349946587213
CAF,1970s,-5.698747294927088
CAF,1980s,4.732238942477834
CAF,1990s,3.690919188597185
CAF,2000s,-3.252984490879025
CAF,2010s,-1.4712015127194031
CAF,2020-2024,-2.597407218628293
CAN,1960s,-1.1921636523890238
CAN,1970s,1.8917112769832527
CAN,1980s,-0.9215083725036193
CAN,1990s,-1.0317541657807414
CAN,2000s,-0.00900840218492839
CAN,2010s,-2.0008746081734863
CAN,2020-2024,-1.162792636660653
CHE,1960s,3.1069663301721815
CHE,1970s,0.7899906382328454
CHE,1980s,-4.0997384823272505
CHE,1990s,-0.8151729664392503
CHE,2000s,-1.2881362278954231
CHE,2010s,1.9387955274034752
CHE,2020-2024,0.17564166021319727
CHL,1960s,-2.75698285995646
CHL,1970s,-7.45340137202796
CHL,1980s,2.7838710378238263
CHL,1990s,6.494033245493197
CHL,2000s,2.418586457948814
CHL,2010s,-0.33289676689803416
CHL,2020-2024,0.3521189323118886
CHN,1960s,-0.680896868811285
CHN,1970s,10.50268699015374
CHN,1980s,-0.6050260260861413
CHN,1990s,-1.353479811392629
CHN,2000s,0.6407161088894435
CHN,2010s,-1.1739319891450766
CHN,2020-2024,-0.4797877972491574
CIV,1960s,-4.216612951614893
CIV,1970s,0.7317679102480887
