horizon,coef,se
-10.0,-6.735966521149312,10.16541330164998
-9.0,-2.8571784683837054,8.34831258468094
-8.0,-2.017987170170229,7.227504346694103
-7.0,-1.9276586619619436,5.83255484103926
-6.0,-2.8978907836703374,4.201185760538178
-5.0,-0.6012096342639016,2.065356513686665
-4.0,-1.7545438824179914e-13,1.2254685716928972e-13
-3.0,1.378057396900411e-15,7.678466680484362e-15
-2.0,-2.712055055275701e-15,2.7319203803288244e-15
-1.0,-4.246217856383777e-15,5.885849347048297e-15
0.0,11.087651392791948,4.038527315670302
1.0,21.13168782894991,6.142388478270404
2.0,20.11882546613328,7.934062606169489
3.0,22.53285540420012,8.876404263099285
4.0,19.048336535666614,10.62657526633286
5.0,26.08458558018738,8.204965843825198
6.0,24.209616615430704,8.142587750256597
7.0,26.35757511706006,7.898437446077774
8.0,30.733382770932316,7.834623272281528
9.0,31.71306477822755,8.080425126216397
10.0,34.58845702963895,9.28593943152225
11.0,36.609669908565756,10.5172688072256
12.0,30.102273528718907,10.866949605310309
13.0,27.943322872922415,11.387149967357757
14.0,27.10809930092246,11.253995658350243
15.0,27.139901753480636,11.020172165087976
16.0,29.31824619044802,11.37765359721756
17.0,26.571818393099953,10.583129777927867
18.0,21.335572527792785,11.970671855164651
19.0,16.744348138511164,12.87594780427129
20.0,14.380204951037896,13.02823818765522
21.0,10.663104736696877,12.972871830226472
22.0,0.15198276029269012,13.027633119798917
23.0,1.1760886315431747,14.336583536462829
24.0,4.0729619343394825,10.918314469373154
25.0,9.590234330913914,7.896791764068451
